English,Chinese
Thank you.,谢谢大家。
"The story started in 1894 in Guangzhou, at a world-renown school named Wanmu Cottage.",公元1894年，在广州，有一座名震天下的学馆，它叫万木草堂。
"On a warm spring afternoon, a young man of 28 came to the door of the cottage.",在一个春日融融的午后，一位28岁的青年来到了万木草堂的门口。
"He knocked at the door with hope, aspiration and a touch of tension, for he would like to get acquainted with the host that was also well-known.",他怀着希望和憧憬，还有一份紧张，叩开了的草堂的大门，因为他想结识里面同样名震天下的主人。
"However, the host refused to meet him.",可是主人不见他。
"In the next few years, the young man tried every means to meet the politician who considered himself as ""a sage"", but the politician still refused to meet him.",在后来的几年里，青年通过各种方式，想再次尝试结识这位已经自诩为“圣人”的政治家，然而后者仍然拒不相见。
"We never know how he felt on those occasions, for he didn't mention it for a single time in the rest of his life.",我们谁也无法得知青年当时的心情，因为在他的有生之年，始终没有流露过。
"The ""Mr Big"" in the story is Kang Youwei, whom people called ""Nan Hai Xian Sheng"".",这个故事里的大咖，是被称为“南海先生”的康有为。
And the young man who was denied entrance for several times is Sun Yat-sen.,而那个数度被吃了闭门羹的青年，他叫孙文。
One cannot speak of the modern history of China without mentioning Sun Yat-sen and Kang Youwei.,孙中山、康有为是中国近代史上两个绕不过去的名字。
"They only had eight years of age difference, but they never made it to be acquainted with each other.",两人只相差八岁，却始终没有交集过。
Kang's refusal to see Sun was resulted partly from his political concerns and more from his arrogance.,康有为不肯认识微时的孙中山，除了一部分政治上的顾虑外，更多的是他的自负。
"In his mind, there was a great disparity between their knowledge.",他觉得两人学问相差悬殊。
"Sun Yat-sen was not good enough for him, even as a student.",哪怕是当他的门生，孙文还有点不够格呢。
"Well, that opinion was considered wrong by the later generations.",可是后世的评价，却不以为然。
"Most of us, actually, were like the young Sun Yat-sen.",我们大多都曾经是青年“孙文”。
We tried to get acquainted with different people for our career or other things.,为了前途或其他的种种，努力让自己认识一些人。
"And the bitterness we had was just like the line described, ""At dawn I knocked at the gates of the rich, at dusk I chased the dust of plump horses"".",甚至有过“朝叩富儿门，暮随肥马尘”的辛酸。
But what difference will it make when we get to know them?,可是，认识了又如何呢？
"You yearn for hope, opportunity and affirmation.",你渴求得到希望，得到机遇，得到肯定。
"But most of the time, the people you wish to know couldn't care less about you.",然而多半时候，你向往的人，可不在乎你呀。
"They give you the cold shoulder, as if you are a feelingless statue.",他们会给你冷眼，好像你是一尊没有情感的石像。
"They keep you waiting almost forever, as if your time isn't life.",他们会让你苦等，好像你的时间就不是生命。
"However, after you gain money and power, those people will change from arrogance to humility.",一旦当你拥有了浮华的价值后，更能领略到那一张张前倨后恭的脸。
"And it's ironic that they deliberately forget the former attitudes towards you, as if they had amnesia.",他们忘了对你有过的态度，仿佛在面对一个失忆的人。
"Frankly, I flinched slightly when asked to give a speech on this subject.",其实吧，让我讲今天的话题，开始我还有点为难的，也有退缩。
Do we need to know so many people?,我们需要认识那么多人吗？
"Whatever my answer is, it is either illiberal, one-sided, or even stupid.",怎么回答都会显得偏执，片面，甚至愚蠢。
"If I say the more people you know, the better.",如果我说认识人得多多益善。
You will definitely give me the tired faces.,那大家在台下肯定会抛过来一张张疲惫不堪的表情。
"If I say there is no need to know too many people, I am certainly getting myself into difficulties, for it sounds morally bankrupt.",如果我说不要认识那么多人，不需要的，那更危险啦，显得我这人很没良心啊。
"And if I say we should only get us acquainted with helpful people, you will positively see me as an advocate of utilitarianism and opportunism.",如果我再说，只要认识管用的人就够了，好啦，我完蛋啦，彻底的功利主义加机会主义者。
"Besides, I will be harshly criticized on the Internet in the near future, what else do I expect from being a target?",回头在网上，要被机关枪扫成马蜂窝的，谁叫我跳出来当了靶子呢?
So what am I supposed to say?,那我该说啥？
Plenty of people popped into my mind.,我的眼前飘过了很多人。
"For some of them, I can't remember their faces or names.",有些人的名字和脸已经对不上号了。
Please forgive me.,请原谅我的健忘。
"But I think, I must be fading away in some people's memory as well.",但同时我也在被他人所遗忘吧。
Why is it that some people could stay in our lives while others just pass by?,为什么有的人进入了我们的生命里停留，而更多的只是彼此的过客？
Maybe we should just see it from another perspective.,我想换个角度看问题，可能别有洞天。
"When discussing on the necessity of knowing so many people, we may temporarily put aside the question of ""necessity"" and ""how many"" and start from ""knowing"".",在谈我们需要认识那么多人时， 可以暂时忽略“是不是需要”以及“要不要那么多”，而从“认识”这两个字上展开。
I have two points here.,我有两点要谈。
"On one hand, knowing people is a bilateral behavior involving the agreement of both sides.",第一点， 认识人是双向的，得你情我愿才行。
"You should always get acquainted with people who deserve to be your friends, and meanwhile make sure that you deserve to be theirs.",去认识最值得你认识的人，同时做他人最值得认识的你。
Some of my editor friends complained at the same time to me about being bothered on QQ.,有几位编辑朋友都不约而同地对我说，在QQ上真是不堪其扰啊。
A few contributors were so impatient after handing in their articles.,有的投稿人心急如焚。
"They kept asking whether their articles could be published and if there was something to modify, and even tried to tell editors their feelings in writing.",稿件刚发过去马上就催着问，编辑啊，你说能不能刊登哪，有什么需要修改的吗？我写的时候心情这儿那儿如何如何。
"To quote from one of the editor: ""Oh, man! Will you please give me a break? It has been only a few minutes and you are already asking for reviews. I am a professional and I can read quickly enough, but I still need time, right?""",编辑对他说，大哥儿啊，你给我喘儿口气行不，你稿件刚发过来几分钟啊，就要问我观后感，就凭我那一目十行的职业素养，也来不及看哪？
"So these editors become more careful in adding contacts, and their QQ are usually in the state of invisibility or off-line.",所以这几个编辑，现在加人很谨慎，平时也多半是隐身或者离线的状态。
The mood of the contributors is understandable.,投稿人的心情可以谅解。
"However, they need to put themselves in the shoes of the editors, so that they will know how it feels to be frequently interrupted when concentrating on their work.",但也要多一份同理心，如果你是别人，在专心工作时被频繁地打断，这滋味真的不是好受的。
"Indeed, every writer craves others' appreciation.",每个作者都渴求得到别人的赏识。
"But you need to give others' a little time and space, for outstanding works will never be deserted or rejected.",但也要给他人一点时间和空间，其实只要你的稿子出色，根本不必担心被冷落或遭到拒绝。
"Instead, editors will follow you closely as if they had a crush on you.",编辑们会像恋爱中发狂的生命那样，紧紧地追随你。
Same rules apply to other scenarios and circumstances.,在其他场合，原理也是一样的，情况也是一样的。
I know another person who is a freeloader.,还有，我认识一个人，他爱蹭。
How?,怎么蹭？
"He freeloads celebrities and pseudo-celebrities for group photos, dinners with outstanding figures and various flashing parties attended by media.",蹭与名人及伪名人的合影，蹭各路英豪到场的饭局，蹭有媒体在的、高低错落的、各式各样的闪光的聚会。
"After all the time, though, his life hadn't changed.",他蹭啊蹭啊蹭，兜了一圈儿，他仍是他。
"The life experiences, patterns and the cultural literacy he yearned for remained the same.",所求的生活境遇、人生格局、文化素养，基本都没有什么改变。
What he gained were merely the superficial glamour.,收获的呢，只是一系列的浮光掠影，走马观花。
He became so tired.,他心累啊。
"Judging from his experience, we could see that if you are not strong enough, the number of your contacts may have little thing to with whether you will get what you want.",由此我觉得，如果实力不足，认识人的多少，对你想要达到的目标及事件的推动，不起多少作用。
The desire to control the outside world and the scenes of satisfaction or frustration are actually reflecting your inner world.,对外界的征服，得意或失意的一道道场景，说穿了是你内在的镜像投射。
Your capability determines the kind of people you associate with or compete with.,你的质地决定了你结交甚至竞争的人群。
"If you are not as brilliant as Nikola Tesla, how can you challenge Edison?",比如你不到尼古拉·特斯拉的段位，你怎么叫板爱迪生呢，对不对？
"Therefore, instead of seizing the superficial glamour eagerly, you'd better cultivate yourself.",所以，与其汲汲于外像的攫取，不如好好磨练出一身过得硬的本领。
"When you become strong enough, the people you always want to know will be attracted to your side, and you will also be able to properly step in every circle you thirsted for before.",火候到了，你向往的人自然会被吸附过来，你也自然会意气风发地踏进任何一个你想要踏进的圈子。
You don't have to feel skeptical about my words.,不用怀疑我的话。
Please show your faith in talent scouts.,请相信这世上是有伯乐的。
"They are as sensitive as Sherlock Holmes, as smell-sensitive as a hound and as agile as a goshawk.",而且伯乐们的敏锐度都和福尔摩斯差不多，他们有着猎犬的嗅觉，苍鹰的身手。
So they definitely won't blunder away any excellent spirit.,他们不肯也不会错过任何一个有质量的灵魂。
"On the other hand, it's important to find out the person worthy of you and strike up a lasting and profound friendship.",第二点， 准确判断谁是最值得的你认识的人，好好把握，深入交往。
"In our lifetime, we have many chances to know others.",我们活着活着总有机会认识不少人。
"The Internet, for example, has help build numerous circles, undertakings and marriages since its advent.",比如说从互联网的开始到现在，成就了多少圈子、事业和姻缘。
It is adorable that miracles often happen where people gather.,人类凝聚的地方，总有奇迹诞生。
But we have to admit the Internet is a double-edged sword that also places burden on us.,这是可喜可爱的一面，但又不堪重负的一面呢。
"Of countless chatting softwares and social platforms on the Internet, the new ones keep replacing the outdated ones.",嗯在网络上，聊天软件和社交平台迭代迭换。
"And we just follow the trends and wander about, like the homeless Gypsy people.",我们呢亦步亦趋，四处流浪，像吉普赛人一样的居无定所吧。
"When invited into some circle or group with tens or hundreds of people online, you can't think of anything to say, but silence will make people feel that you are heartless.",有时候，被拉进了某个圈，某个群，几十、几百人在线，说嘛又没啥话，保持沉默吧显得无情
"However, you don't delete and leave it for not hurting some fragile heart.Isn’t this awkward?","退出吧,还怕伤了谁的玻璃心？"
I have a friend who is one extreme.,我有一个朋友啊，他比较极端。
He only uses e-mail and telephone call to contact others.,他至今对外联系的方式就是电子邮件和电话。
"I asked him, ""Why don't you create an ID on some social software? It could be fun.""",我问：“你为什么不注册个啥啥啥，挺好玩儿的啊。”
"""Those pop-up messages annoy me a lot."" He replied.",他说：“一天到晚出信息，烦都烦死啦。”
"He added, ""I'm always busy working. If I had plenty of time, I would rather read a classic book. If I had fragmented time, I would rather learn to make a dish or chat with my families. But what can a social software bring me? Trivial things in life, passages making a fuss about nothing, and selfies pre-airbrushed to the extent that the skin texture is gone and their eyes are severely liquefied.""",他还说：“我平时工作很忙，如果有大块的时间，不如读一部名著，有碎片的时间，不如呢学做一个菜，会或陪家人聊聊天；如果注册了那个啥，成天就是看别人的吃喝拉撒在广播，无病呻吟的小段子，还有啊还有P得没了皮肤质感的眼球严重液化的大头照。”
It seems you share the same feelings with me.,呵呵，都有同感啊。
"""Isn't that a waste of time and self torture?""",“那真是浪费时间，糟蹋自己啊。”
"His description is a little exaggerated, actually, for social platforms are not always full of those contents.",嗯他的话有点偏激吧，其实那个啥里不尽然都是刷他说的那些啥啥啥。
But there is still a grain of truth in it.,但是但是稍微有点道理啊。
I'm not something of a personality like him.,我是没他那么有个性的。
I'm rather a common person who likes to get a sense of presence by showing off on the Internet.,因为我俗，我偶尔也爱在网上显摆一些东西，找点存在感嘛。
This reminds me of those days I spent without Internet.,但我也想到了我自己，在没有网络的年代。
"Actually, I felt spiritually fulfilled during that time.",精神上过得真的不比现在差。
"Due to obvious reasons, I was isolated from the outside world for several years.",由于众所周知的缘故，我被相对封锁了很多年。
"I used to sigh often, but when I recall it now, I start to miss those undisturbed days.",那时觉得挺悲叹的，但是现在想起来，却有点羡慕那段不被打扰的光阴。
"In those years, I hardly had the chance to meet a stranger.",那时我几乎没有机会，朝外认识一个生人。
"Instead, I acquainted myself with quite a few immortal figures in books.",却在书中结交了众多不朽的灵魂。
"By the way, you don't always need to strike up a profound relationship with the alive, for spiritual friendship can also be fruitful.",在这儿插一句，值得你交往并且深入认识交往的不一定非要是活人呢，神交也能做一场自我的完成。
Mr Mu Xin had two impressive remarks concerning his imprisonment.,木心先生谈到他的牢狱之灾，说过两句打动人心的话。
"One is ""I'm a slave at daytime and a prince at night.""",他说：“我白天是奴隶，夜晚是王子。”
"As for the other remark, I can only remember its general meaning, which is ""When I suffer and struggle, those people who had the same experience as me and who I adore so much will keep me company in hell.""",还有一句话，我只记得大意了，他说：“在我最痛苦和挣扎的时候，那些我所仰慕的，同样挣扎过的人物，他们都在地狱里陪伴我。”
"After years of isolation when I got to contact the outside world, people's clothes, commodities' prices and those catchwords became unfamiliar to me, and even the air quality had changed.",在封锁了多年之后，有一天我外出看到街面的景象、人们的服饰、商品的价格都变得陌生了，也听不大懂流行语了，甚至连空气的质量都不同了。
"The feeling I had was just like the line ""Less than an hour, but a world away"".",我真有一种“壶中才一日，世上已千年”的恍惚啊。
"Since I returned to the outside world, I have made some mistakes, but I never felt embarrassed, for I have learnt to be composed from reading.",但有一天，当世界重新向我敞开，在持续地认识人的过程中，我有过失误，却没有过局促，因为那段沉浸阅读的时光给了我积淀和从容。
What kind of book you read is equal to what kind of person you know.,读什么样的书，等于认知什么样的人。
The classic masterpieces will never be obsolete and it's never a waste of time to read them.,经典之作永不过时，不会白白骗取我的光阴。
"A French scholar once said, ""We should trust the books our predecessors chose. A man might be wrong, a generation might be wrong, but the entire human race can't be wrong.""",有一位法国学者曾说过：“在阅读上，我们要相信前人的选择，一个人兴许会看错，一代人兴许会看错，但整个人类不会看错。”
Knowing someone is just like reading.,认识人和看书的原理一样。
"Instead of glancing over, you should peruse it.",要精读，而不是浏览。
This is both a profound and superficial era.,这是一个刻骨深沉又浅薄缭乱的时代。
"As for those who have a voice, they keep saying virtues and morality over and over, they bewail the times and pity the people, and they point out problems and persuade people to correct them.",不少话语权的掌握者满口仁义道德，各种悲天悯人、针砭时弊。
"However, when it comes to practical issues, the character setting they designed for themselves will collapse in no time.",但是一旦触碰到实际问题呢，他们的本体以及雕琢的意象瞬间轰然倒塌。
"Although there are undiscovered talents everywhere, most of the time, their words don't carry much weight.",民间处处卧虎藏龙，却人微言轻、落子无声。
"So it is better to compose yourself and pay more attention to observation, learning and challenges than to frequently associate with and cater to others.",所以与其频繁地结交、奉迎别人，不如沉下心来观察、求知、质疑。
"In this way, we will gain a profound understanding of the world, our thoughts can be infilled with originality and deepness, and we will definitely get the access to quality connections.",惟其如此，我们对人世才有深刻的领会和剖析，我们的思想才具备了原创性和深邃感，最终我们也一定能得到优质的人脉。
"When discussing on today's speech with an elder man, he said, ""In each person’s life, there are at most ten people, apart from family members, that are worthy of your interaction.""",有一位长者，在和我谈论今天的演讲时，他说：“我认为啊，在每个人的一生中，值得你交往的除了家人以外，顶多十个人罢了，有必要的啊。”
"Hearing his opinion, it crossed my mind to consider if he could be among the top ten friends of mine.",听了他的话，我马上想到：“哟，那我得算算，你有没有被排进我心中的前10名啊！”
"I will never tell him, of course.",当然，我不会告诉他的。
"It's just like that we will not, dare not and need not reveal the top ten list in our mind.",就像我们永远也不会、也不敢、也没有必要公开自己心头的嫡系部队的名单。
"Let's try to get into the top ten list of the person you'd very much like to know with our kindness, wisdom and diligence.",让我们用善良、智慧和勤劳，排进你最想认识的人的心头的前10名。
"Meanwhile, maybe we can consider who are on the top ten list of our life.",同时也排列一下，自己内心的前10人，是什么样的生命？是谁、谁、谁。
Thank you!,谢谢大家!
"In Fengxian District, there is a century-old shop called Dingfeng Sauce Store.",奉贤区啊，有一家百年老店，叫鼎丰酱园。
It produces a kind of fermented bean curd called Dingfeng Fermented Bean Curd.,它出一种腐乳，叫做鼎丰腐乳。
"Over the past 100 years, the outer packaging of Dingfeng fermented milk has undergone great changes.",一百年来，装鼎丰腐乳的这个瓶子，发生了很大的变化。
"In the past, the customers took a small bowl with them.",以前的话可能就拿个小碗就盛一点回来。
Now the fermented bean curd are packed in the vacuumed bottles.,现在可能是用真空的瓶包装了。
"However, the crafts of making Dingfeng fermented milk have remained the same.",但是做鼎丰腐乳的整个一个工艺，一直没有变过。
Just a bite of it will bring back your childhood memory. It tastes just the same.,所以你只要吃一口，你就会尝到小时候的味道。
This thing has set me to reflect on technology.,这件事情呢，让我反思技术。
"It seems to me that there exists something that is immune to the influence of technology, something that will stay constant despite the advancement of technology.",因为总有一些东西它是超越技术之外的，它随着技术的发展它是不变的。
It occurs to me that each of us is like a piece of fermented bean curd.,后来我在想我觉得我们每个人，都像一块腐乳。
Why?,为什么？
"Although our fashion style is in constant change due to technology development, we change in some way as an individual.",因为我们的衣服不断地由于技术的发展，我们会变。
"In fact, we have not changed if we are seen as a whole.",但是我们人没有变。
"In a sense, we human have not changed during the past hundreds of years.",甚至是几千年我们的人都没有变。
"In fact, we have not become smarter nor stronger.",实际上我们没有变得更聪明，我们又没有变得更强大。
"Because we have not changed, we are still just human.",也正因为它不变，所以我们还是人。
"My view is that there must exist something that is beyond the capacity of technology, something that we have been striving for from generation to generation.",而因此我想，它一定是有一个技术之外的一个东西，这个技术之外的东西，是我们孜孜追求的东西。
We all know that in today's world knowledge is updating at speed.,大家知道我们现在整个世界啊，知识是变化越来越快。
"For each of us, all our knowledge must be learned.",我们每个人，从生下来的时候，都要重新开始学习。
We cannot insert an USB card into our brains to instantly know things,我们不可能通过copy U盘，在我脑袋上插一个U盘，我就有知识了。
Neither can we inherit knowledge from our parents.,我们也不可能通过遗传的方式让我获得知识。
"Despite the fact that you are a Ph.D., your baby must learn all over again as others do.",如果你是博士，你的小孩生下来也必须重新开始学习。
This is something that cannot be changed by technology.,而这就是技术之外的。
This is what I want to talk about today.,我们想讨论的。
"We all know that technology are still moving forward, but we have no clue where it might lead us.",但是大家知道，技术不断地发展，我们不知道它将走向哪里。
We all learned Newton's three laws.,我们大家都学过牛顿三大定律。
These three laws enable us to predict the existence of Uranus and Pluto.,因为牛顿三大定律我们学好以后，我们竟然可以发现，天王星，冥王星。
"Today I want to talk to you about the ""three laws"" of learning technology.",所以我想，今天想跟大家说一下，关于学习技术的三个定律。
Because these three laws may shed some insights into how to digitalize our education.,因为这三个定律也许，我们在做我们教育信息化的时候啊，会更有方向。
They may enable us to where education digitalization may lead to in the future ten or twenty years.,我们甚至可以预言十年二十年以后，我们的教育信息化会变成怎么样。
"The first law: no matter how technology develops, the essence of learning will always be self-education.",第一条定律，无论技术怎样发展，学习本质上永远是一种自我教育。
"It is impossible for us to transform knowledge into our brain through copying, clouding, or big data.",不可能，用copy的方式，不可能，用云，大数据，好像储存了很多很多的东西，好像我们就很有知识了。
"Even you have many poems inserted into your ""cloud"", you will not become a poet.",但是，不会的，如果说你的云上，存了很多很多的诗，你也不会成为诗人。
It has to be learned.,所以学习必须是通过我们去学才是可以的。
So what is learning?,那么什么是学习？
"Learning can be also called awareness, familiarity, acquisition, and mastery.",学习，我们可以把它叫做知道、熟练、学会、悟通，都是学习。
"Therefore, by its definition, this kind of learning takes time.",而这种学习的话，它都是需要时间的。
What is the second law?,那么第二个定律是什么呢？
"It is called: technology will take on a life of its own, independent of the inventor's will.",叫技术有自由意志，不以发明者的意志为转移。
Let me give you an example.,我举一个例子。
I do not know who invented keyboards.,我也不知道这个键盘啊是谁发明的。
"We use keyboards all the time, but it has a special kind of use.",我们一直用键盘的，但是键盘有一个用途。
You can make someone kneel on a keyboard.,就是用来跪的，用来跪的。
I do not know if you have had a similar experience.,我不知道大家有没有跪过这个键盘。
I once tried it.,我曾经尝试过跪一下。
The person who invented the keyboard would never imagine such a kind of use for his invention.,但是发明键盘的人，从来没有想过，竟然有人用键盘去跪的。
"Once a technology is invented, it will take on a life of its own.",它一旦生生出来以后它就有自由的意志。
"Therefore, what is the free will of technology?",那么技术的自由意志体现在什么地方呢？
"As we human being do, technology has an instinct to survive.",技术就像人一样，它想存活。
It wants to spread itself and expand its user base.,它想不断地复制自己，让更多的人去用。
It does not care how we use it.,而不在乎你是什么用的。
This is the free will of technology.,这就是技术的自由意志。
"Suppose you live in two hundred years ago, if you want to listen to music or watch a show, anytime and anywhere, the only way is to take a band or a group of dancers with you.",比如说两百年以前，如果我想随时听音乐，随时看表演，那我必须要养一支乐队，带一批舞女。
I want to see it now.,我想看。
Come and perform for me.,来，表演。
It is much simpler today.,现在不要了。
All you have to do is to swipe on your iPhone.,我只要拿出iphone我就可以看了。
"You can watch it, anytime and anywhere.",我就可以听了。
This is the free will of technology.,这个就是技术啊。
It has a tendency to get cheaper and cheaper.,它有一点，它会越来越便宜。
"Because the cheaper it is, the wider its user base will be.",因为越便宜，它可以让大家都用。
It is probably beyond the imagination of Steve Jobs that every New Year's Eve the main purpose of using iPhone is to grab red envelopes online.,但是乔布斯怎么也没想到，这个iphone我现在，在过年那个除夕的晚上，用得最多的是用来抢红包。
Sometimes I spent the whole night grabbing red envelopes.,但是，抢红包我有的时候抢了一个晚上。
"Although half of the red envelopes was worth only 0.01 yuan, they still brought me joy.",有一半以上只有一分钱，但是我还是很开心。
In the end what is the ultimate purpose of technology?,实际上的话，对我们每个人来说，我们想要的技术，是什么呢？
"The ultimate purpose is not to have an iPhone, but to enjoy the happiness it brings me.",我们想要的技术，实际上我真的不是要这个iphone，而实际上是要的这个iphone带给我的快乐。
"Likewise, the ultimate purpose is not to invent a technology that understands us, but to get to know ourselves better through the application of technology.",同样的，我也不是要这个技术来懂我，而是我想通过这个技术更懂我自己。
"However, technology has its own purpose.",但是技术完全是不一样的，技术它的自由意志就是想。
It will make all attempts to know you better so then you will become more addicted to it.,让你拥有它，使用它，因为这样所以它就千方百计地要弄懂你。
This is the free will of technology.,这就是自由意志。
The third law: benefits and risks of a technology will expand in the same proportion.,第三定律，技术的利弊空间，必定同比例拓展。
"It means that as a technology brings more benefits, it will at the same time invite more risks.",就是一样东西它技术水平提高了，那么它的不好的空间。
The benefits and risks grow in the same proportion.,也一定是同步拓展的，是一个等比例的。
We have not seen the risks because they have been deliberately controlled.,"如果说，我们现在还没有看到它不好的效果,只不过我们有意控制它。"
"However, the possibility is still there.",但是它的空间是打开了。
"Eventually, the risks will be seen.",哪一天它的不好的一定会出现。
"The greater its capacity, the riskier.",控制能力越大失控的空间就会越大。
Atomic energy is such an example.,就像原子能。
We are enjoying the benefits of atomic energy.,尽管我们现在，主要在享受原子能的好处。
"At the same time, we all want to avoid the possible risks, but the risks are still there.",但是它的不好的地方，我们大家都不想尝试，但是这个空间已经，已经打开了。
The same goes for the application of technology in teaching.,同样的，数据，信息技术用在教学当中。
It will inevitably lead to data analysis.,有一个必然的趋势，就是数据分析。
There is no doubt that data analysis will change our education in every way.,数据分析将大大地改变我们的教育，这是必然的。
Data analysis needs data from the user.,但是它要精准地分析你。
"The more data a user offers, the more accurate the analysis is.",那么你必须把你的隐私暴露出来，你暴露得越多，它才可以精准地分析你。
"However, please note that the more powerful this data analysis becomes, the greater its risks grow.",但是，请大家注意数据这个分析的能力越强，它的伤害效果会越大。
Let me give you an example.,我只要举一个例子大家就知道。
"It is common to have a medical examination, but many of us actually get freaked out over the identification of some disease.",大家都体检的，你们知道因为体检以后发现毛病吓死的人，有多少吗？
The application of technology to education has far more important impacts.,但是教育来说。
"Unlike the machines, we are capable of feeling emotions.",你们想一想，因为人是一个有情感的东西，老师是有情感的，孩子是有情感的。
Imagine a child is diagnosed as intellectually challenged.,如果大数据分析，结论告诉我，我是一个笨蛋。
The child may come to believe he is destined to become a fool.,那么我可以告诉你，我将来必定是个笨蛋。
"In this case, although the data analysis is accurate, it is against the spirit of education.",然后他来证明他的数据，分析是多么得正确。
"Therefore, in terms of its application in education, the benefits and risks of technology will have a far significant impact.",所以在这一点上，我们的整个一个技术，它的利弊空间，将会产生重大的影响。
"Under the guidance of these three laws, I want to predict how our education will evolve.",那么这三个定律，我想尝试着用这三个定律，来推导接下去我们的教育会出现什么样的变化。
"First, reaching the limit to one's learning capacity",第一个叫做学习临界。
What is the limit to one's learning capacity?,什么叫学习临界呢？
Think knowledge as water.,我们整个世界的知识啊就像水一样。
"At the beginning, it was the size of a small pond.",刚开始的这个知识，它可以放在一个小水塘里。
"Later, as the technology develops, our knowledge grows as well.",后来技术发展了，我们知识越来越多了。
The small pond turns into a lake and then into an ocean.,它可能变成一个湖泊了，再发展它就变成一个海洋了。
Now think our brain as a spoon.,但是请大家注意我们每一个人的脑袋，就像一个勺子一样。
"Even if you are a genius, your spoon and an idiot's spoon will not differ much in size.",哪怕你是个天才，你的勺子和白痴也差不了多少。
There is a limit to what you can hold with your spoon.,你不可能舀这么多东西的。
"Of course, each spoon may vary a little in size.",当然每个人的勺子大小可能不一样。
The amount of water that a spoon can hold is the limit to one's learning capacity.,这个勺子能舀的水的量，就是学习的临界。
"In today's world, knowledge has become more and more accessible, so we do not have to memorize as much as we used to do.",那么大家思考一下，对于我们现在这个状态来说，因为知识越来越方便地获取，甚至是可以很快地获取，所以我们不要记太多的东西。
Most of us may remember less than ten phone numbers now.,我们现在，可能记不了十个电话号码。
"In the past, we used to be able to remember the tunes and lyrics of a hundred songs, but now we sing Karaoke.",我们以前可以背一百首歌，现在没有没有卡拉OK，我们就不会不会唱歌了。
This change was made possible by the advancement of technology.,这个都是进步带来的。
Each of us has only one spoon.,那么，对我们每个人来说，因为有这么一个勺子。
"If we are not critical of what to learn, the spoon will be easily filled.",如果你学了太多乱七八糟的东西，它就满了。
So what is the most important thing to us?,而对每个人来说真正最重要的东西是什么？
What is the most important thing to learn?,学习最重要的东西是什么？
"In my view, there are three such capacities.",我认为是对世界的认识。
The first is our understanding of the world.,这是第一个。
The second is our way of thinking.,第二个，思维的方法。
The third is the ability to communicate and cooperate with others.,第三个，和人沟通和相处的能力。
Can these three capacities be developed directly without first acquiring the related knowledge?,那么是不是这三个能力它可以抛开知识而直接就形成呢？
That is also impossible.,那也是不可能的。
"That is to say, in the process of acquiring knowledge, we need to build these capacities at the same time.",也就是说我在通过舀这一勺知识的时候，要形成这些最基本的素养。
"This first law, which is called the limit to our learning capacity, stays constant despite the advancement of technology.",而这一点，它是超越技术之外。
It sets us to reflect.,它需要我们在座的每一个人去思考。
It is of the most importance and relevance to us.,也是我们现在最重要的最迫切的一个需要，学习临界。
"Second, graphic thinking.",第二个，叫图文思维。
"Four or five thousand years ago, when there was no written language.",在四五千年以前，还没有文字的时候。
"Back then, our way of thinking can be seen as version 1.0.",我们人的思维方法，我把它叫1.0版。
"Back then, people thought in a very concreate way, which was called figurative thinking.",人的思维方法是具体的思维方法，叫具象思维。
Their thoughts were in the form of images.,基本上是图像。
"Back then, when two person talked to each other, they would never say, "" let's we go picking peaches.”, because there was no language yet.",比如说我们两个沟通的时候啊，绝对不会说，我们现在去采桃子吧，因为没有语言。
"Imagine we are a couple living in the prehistoric time, how would we communicate?",那你想我们去采桃子，如果我和你我们是一对原始人夫妻，你怎么表达？
We would definitely communicate in a figurative way.,"一定是,形象思维。"
"Later, after the invention of written language, if I want to ask you to go picking peaches with me, I will just utter the words by mouth.",后来有了文字有了语言你们反思一下看，如果我说我们去采桃子吧，你在说这个话的时候嘴巴里出现的是语言。
"When I am speaking, what appears in my mind is the language or words rather than an image of me picking peaches.",但是你的脑子里出现的，也就是语言，也就是文字，而没有出现我采桃子吧。
"My utterance of ""picking peaches"" will still stimulate the images of peaches in your mind, but in this case, you think in an abstract way rather than a concrete way.",但是我采桃子你想到桃子的这个时候啊，不再是具体的思维，它是一个抽象的思维。
We have all become abstract thinkers after a long period of study.,我们现在平时经过长时间学习以后啊都变成抽象思维。
We are only concrete thinkers during the babyhood.,我们只有在婴儿期间有一段具象思维。
"Once we start to learn to speak and write, it is difficult for us to stay as concrete thinkers.",一旦你学会文字以后你就很难再回到具象思维。
"Now there are screens everywhere, such as our mobile phones.",但是现在因为到处存在着屏幕，比如说手机。
Communication goes beyond words.,交流已经超越了文字。
Here are some WeChat emoji on the screen.,比如说大家看到，这屏幕上出现的这几个微信上的一些图标。
"We can send an emoji to indicate that I am sleeping, I am eating, or I am angry without saying a single word.",我们经常会话不说直接发一个图标，表示我睡觉了，表示我在吃饭，表示我很愤怒。
These emoji are no longer words.,它已经不再是文字了。
They are images.,它是一种图像。
"Therefore, we humans are entering a stage of graphic thinking, a brand new stage.",所以我们人类接下去将会进入一个图文思维的一个阶段，而这个阶段是全新的。
"I believe that graphic thinking will be a key skill in the future work, which will emphasize designing capability.",我告诉大家，图文思维将是非常重要的工作，就是设计为王。
"Therefore, I suggest that all of you here get your children some design education.",所以我这里号召我们大家，让你的孩子去学设计吧。
I have sent my daughter to designing classes.,我已经让我的女儿学设计了。
"Third, the knowledge gap between a master and the general public are narrowing",第三，叫大师变矮，变矮。
